library	read_counts
insilico_ribodepleted_reads/R-HP-M21.nonrrna_1.fastq	20725358
insilico_ribodepleted_reads/C-VA-M21.nonrrna_1.fastq	27250893
insilico_ribodepleted_reads/D-RA-M21.nonrrna_1.fastq	15020475
insilico_ribodepleted_reads/D-JV-M20.nonrrna_1.fastq	17012021
insilico_ribodepleted_reads/R-AM-M21.nonrrna_1.fastq	24300595
insilico_ribodepleted_reads/M-GM-M20.nonrrna_2.fastq	19197524
insilico_ribodepleted_reads/R-RA-M21.nonrrna_1.fastq	22977805
insilico_ribodepleted_reads/R-JV-M20.nonrrna_1.fastq	14522789
insilico_ribodepleted_reads/D-AM-M21.nonrrna_1.fastq	26508913
insilico_ribodepleted_reads/M-BH-M20.nonrrna_2.fastq	8751509
insilico_ribodepleted_reads/M-HP-J21.nonrrna_1.fastq	21691838
insilico_ribodepleted_reads/D-GM-A20.nonrrna_2.fastq	17496959
insilico_ribodepleted_reads/M-JV-A20.nonrrna_1.fastq	14550594
insilico_ribodepleted_reads/R-GM-A20.nonrrna_2.fastq	18559716
insilico_ribodepleted_reads/M-HP-M21.nonrrna_2.fastq	16439834
insilico_ribodepleted_reads/R-RA-J21.nonrrna_2.fastq	23560536
insilico_ribodepleted_reads/D-AM-J21.nonrrna_2.fastq	20231216
insilico_ribodepleted_reads/D-RA-J21.nonrrna_2.fastq	17070642
insilico_ribodepleted_reads/R-AM-J21.nonrrna_2.fastq	17207543
insilico_ribodepleted_reads/D-GM-M20.nonrrna_1.fastq	19213061
insilico_ribodepleted_reads/R-BH-M20.nonrrna_1.fastq	13600272
insilico_ribodepleted_reads/R-HP-J21.nonrrna_2.fastq	25033509
insilico_ribodepleted_reads/M-JV-M20.nonrrna_2.fastq	17289192
insilico_ribodepleted_reads/M-RA-M21.nonrrna_2.fastq	24267923
insilico_ribodepleted_reads/M-AM-M21.nonrrna_2.fastq	25537549
insilico_ribodepleted_reads/D-BH-M20.nonrrna_1.fastq	12085781
insilico_ribodepleted_reads/D-HP-J21.nonrrna_2.fastq	23470615
insilico_ribodepleted_reads/R-GM-M20.nonrrna_1.fastq	24712202
insilico_ribodepleted_reads/C-PL-M21.nonrrna_2.fastq	17274911
insilico_ribodepleted_reads/D-JV-A20.nonrrna_2.fastq	17169169
insilico_ribodepleted_reads/M-GM-A20.nonrrna_1.fastq	13786828
insilico_ribodepleted_reads/R-JV-A20.nonrrna_2.fastq	2690867
insilico_ribodepleted_reads/T-PL-A20.nonrrna_1.fastq	14448916
insilico_ribodepleted_reads/D-AM-M21.nonrrna_2.fastq	26508913
insilico_ribodepleted_reads/R-JV-M20.nonrrna_2.fastq	14522789
insilico_ribodepleted_reads/R-RA-M21.nonrrna_2.fastq	22977805
insilico_ribodepleted_reads/M-BH-M20.nonrrna_1.fastq	8751509
insilico_ribodepleted_reads/M-HP-J21.nonrrna_2.fastq	21691838
insilico_ribodepleted_reads/M-GM-M20.nonrrna_1.fastq	19197524
insilico_ribodepleted_reads/R-AM-M21.nonrrna_2.fastq	24300595
insilico_ribodepleted_reads/D-JV-M20.nonrrna_2.fastq	17012021
insilico_ribodepleted_reads/D-RA-M21.nonrrna_2.fastq	15020475
insilico_ribodepleted_reads/T-PL-M20.nonrrna_1.fastq	11558494
insilico_ribodepleted_reads/M-RA-J21.nonrrna_2.fastq	20270453
insilico_ribodepleted_reads/R-HP-M21.nonrrna_2.fastq	20725358
insilico_ribodepleted_reads/C-VA-M21.nonrrna_2.fastq	27250893
insilico_ribodepleted_reads/D-HP-M21.nonrrna_2.fastq	24984271
insilico_ribodepleted_reads/M-AM-J21.nonrrna_2.fastq	19447735
insilico_ribodepleted_reads/C-PL-J21.nonrrna_2.fastq	23229938
insilico_ribodepleted_reads/R-GM-A20.nonrrna_1.fastq	18559716
insilico_ribodepleted_reads/M-JV-A20.nonrrna_2.fastq	14550594
insilico_ribodepleted_reads/D-GM-A20.nonrrna_1.fastq	17496959
insilico_ribodepleted_reads/R-GM-M20.nonrrna_2.fastq	24712202
insilico_ribodepleted_reads/C-PL-M21.nonrrna_1.fastq	17274911
insilico_ribodepleted_reads/M-AM-M21.nonrrna_1.fastq	25537549
insilico_ribodepleted_reads/D-BH-M20.nonrrna_2.fastq	12085781
insilico_ribodepleted_reads/D-HP-J21.nonrrna_1.fastq	23470615
insilico_ribodepleted_reads/R-BH-M20.nonrrna_2.fastq	13600272
insilico_ribodepleted_reads/R-HP-J21.nonrrna_1.fastq	25033509
insilico_ribodepleted_reads/M-RA-M21.nonrrna_1.fastq	24267923
insilico_ribodepleted_reads/M-JV-M20.nonrrna_1.fastq	17289192
insilico_ribodepleted_reads/D-GM-M20.nonrrna_2.fastq	19213061
insilico_ribodepleted_reads/R-AM-J21.nonrrna_1.fastq	17207543
insilico_ribodepleted_reads/D-RA-J21.nonrrna_1.fastq	17070642
insilico_ribodepleted_reads/M-HP-M21.nonrrna_1.fastq	16439834
insilico_ribodepleted_reads/D-AM-J21.nonrrna_1.fastq	20231216
insilico_ribodepleted_reads/R-RA-J21.nonrrna_1.fastq	23560536
insilico_ribodepleted_reads/T-PL-A20.nonrrna_2.fastq	14448916
insilico_ribodepleted_reads/R-JV-A20.nonrrna_1.fastq	2690867
insilico_ribodepleted_reads/M-GM-A20.nonrrna_2.fastq	13786828
insilico_ribodepleted_reads/D-JV-A20.nonrrna_1.fastq	17169169
insilico_ribodepleted_reads/M-AM-A20.nonrrna_2.fastq	7946750
insilico_ribodepleted_reads/C-PL-A20.nonrrna_2.fastq	15681710
insilico_ribodepleted_reads/Neg_control.nonrrna_2.fastq	25679584
insilico_ribodepleted_reads/M-HP-A20.nonrrna_2.fastq	9702269
insilico_ribodepleted_reads/R-HP-M20.nonrrna_2.fastq	14183436
insilico_ribodepleted_reads/M-JV-J21.nonrrna_2.fastq	18802467
insilico_ribodepleted_reads/T-PL-M21.nonrrna_1.fastq	21880740
insilico_ribodepleted_reads/D-GM-J21.nonrrna_1.fastq	19028933
insilico_ribodepleted_reads/R-GM-J21.nonrrna_1.fastq	25758406
insilico_ribodepleted_reads/D-HP-M20.nonrrna_2.fastq	15552248
